1,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,140,0,0,1,164,7,0,0,0,0,0,0,0,0,1,0,21
2,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,7,2,0,0,0,6,314,0,0,0,382,29,0,0,0,0,2,0,0,0,0,0,43
3,9,0,0,30,0,0,0,0,0,0,0,9,0,0,0,1,7,28,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,366,0,0,8,379,23,0,0,0,0,1,0,0,0,0,0,49
4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,8,0,0,174,12,0,0,3,0,0,0,0,0,1,0,25
5,7,0,0,48,0,0,0,0,0,0,0,25,0,0,0,0,0,11,2,0,0,0,0,0,0,0,5,10,0,0,0,4,6,170,38,0,1,386,20,0,0,1,0,0,0,0,0,1,0,33
6,5,0,0,26,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,215,39,0,2,405,23,0,0,2,0,2,0,0,0,0,0,34
7,15,0,0,110,0,0,0,0,0,0,0,39,9,0,0,0,0,22,9,0,0,0,0,0,0,0,0,15,0,0,0,2,6,439,72,0,6,872,52,0,0,7,0,0,0,0,0,1,0,66
8,14,0,0,67,0,0,0,0,0,0,0,32,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,21,0,0,0,0,9,375,37,0,3,811,35,0,0,2,0,1,0,0,0,1,0,59
9,13,0,0,91,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,5,334,0,0,6,561,46,0,0,0,0,2,0,0,0,0,0,53
10,12,0,0,52,0,0,0,0,0,0,0,17,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,9,0,0,0,0,11,522,0,0,4,556,40,0,0,0,0,0,0,0,0,0,0,94
11,16,2,0,60,0,0,0,0,0,0,0,35,7,0,0,0,0,48,23,0,0,0,0,0,0,0,0,23,0,0,0,8,30,403,2,0,12,686,44,0,0,0,0,2,0,0,0,0,0,53
12,21,1,0,122,0,0,0,0,0,0,0,132,10,0,0,0,0,47,26,0,0,0,0,0,0,0,3,19,0,0,0,13,22,524,52,0,15,1360,92,0,0,11,0,5,0,0,0,2,0,114
13,11,0,0,85,0,0,0,0,0,0,0,37,2,0,0,0,0,20,7,0,0,0,0,0,0,0,17,8,0,0,0,3,4,146,48,0,2,606,34,0,0,7,0,2,0,0,4,0,0,21
14,29,0,0,124,0,0,4,0,0,0,0,5,0,0,0,26,24,114,20,0,0,0,0,0,0,0,0,22,0,0,0,0,19,1045,0,0,14,1698,111,0,0,0,0,1,0,0,7,0,0,196
15,24,0,0,116,0,0,0,0,0,0,0,90,14,0,0,0,0,68,25,0,0,0,0,0,0,0,0,17,0,0,0,6,10,677,103,0,14,1391,87,0,0,9,0,3,0,0,1,0,0,128
16,25,11,0,64,0,0,0,0,0,0,0,5,0,0,0,6,23,74,2,0,0,0,0,0,0,0,0,33,0,0,0,0,25,574,0,0,18,2795,81,0,0,0,0,4,0,0,0,10,0,89
17,17,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3,7,49,10,0,0,0,0,0,0,0,0,16,0,0,0,0,6,799,0,0,0,1285,71,0,0,0,0,2,0,0,0,1,0,163
18,13,1,5,45,0,5,0,0,0,0,0,0,0,0,0,35,44,122,26,4,0,2,0,0,0,0,17,11,0,0,0,74,84,273,0,0,31,424,24,0,0,0,0,2,0,0,4,1,0,30
19,34,1,0,105,0,8,1,0,0,0,0,0,0,0,0,18,21,89,19,0,0,0,0,0,0,0,1,33,0,0,0,28,52,985,0,0,10,1736,125,0,0,0,0,3,0,0,7,2,0,173
20,19,0,0,79,0,0,0,0,0,0,0,7,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,803,0,0,0,1829,127,0,0,0,0,1,0,0,0,1,0,161
21,14,0,0,56,0,0,0,0,0,0,0,11,0,0,0,2,3,27,5,0,0,0,0,0,0,0,0,12,0,0,0,0,9,833,0,0,4,919,55,0,0,0,0,1,0,0,0,0,0,117
22,24,0,0,127,0,0,1,0,0,0,0,20,4,0,0,10,15,88,19,0,0,0,0,0,0,0,0,32,0,0,0,0,19,779,0,0,13,1701,108,0,0,0,0,2,0,0,6,3,0,147
23,43,0,0,263,0,0,0,0,0,0,0,154,28,0,0,0,0,52,15,0,0,0,0,0,0,0,7,35,0,0,0,21,23,1358,224,0,13,2813,192,0,0,33,0,5,0,0,0,4,0,256
24,22,0,0,135,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,983,208,0,0,2189,119,0,0,16,0,3,0,0,0,2,0,186
25,21,1,0,159,0,0,5,0,0,0,0,97,9,0,0,0,0,54,20,0,0,0,0,0,0,0,18,8,0,0,0,15,12,522,109,0,10,1423,75,0,0,9,0,3,0,0,8,1,0,98
26,22,0,0,138,0,0,0,0,0,0,0,84,0,0,0,0,0,31,8,0,0,0,0,0,0,0,0,18,0,0,0,13,7,762,87,0,2,1665,101,0,0,11,0,3,0,0,6,0,0,155
27,19,0,0,130,0,0,0,0,0,0,0,0,0,0,0,8,9,32,5,0,0,0,0,0,0,0,0,28,0,0,0,0,22,558,0,0,13,1637,92,0,0,0,0,1,0,0,3,0,0,133
